"Season","FirstName","LastName","Position","Origin","Destination","TransferDate","Rating","Stars","Eligibility"
"2022","Markese","Stepp","RB","Nebraska","","2022-07-12T19:33:00.000Z","","4","Immediate"
"2022","Riley","Moore","P","Weber State","UMass","2022-03-01T06:00:00.000Z","","","Immediate"
"2022","Christian","Pedersen","TE","Louisville","","2022-07-26T09:11:00.000Z","","3","Immediate"
"2022","Jalil","Muhammad","IOL","Arkansas State","","2022-07-25T17:31:00.000Z","","3","Immediate"
"2022","Malik","Feaster","CB","Jacksonville State","Florida State","2022-07-13T13:59:00.000Z","","","Immediate"
"2022","Spencer","Arceneaux","QB","Nebraska","","2022-05-05T17:26:00.000Z","","","Immediate"
"2022","J'Marick","Woods","S","Duke","","2022-07-10T14:20:00.000Z","","3","Immediate"
"2022","Omar","Sims","DL","Jacksonville State","","2022-06-06T23:04:00.000Z","","","Immediate"
"2022","Jacobe","Covington","CB","Washington","USC","2022-05-02T17:54:00.000Z","0.88","3","Immediate"
"2022","Grant","Laws","DL","UMass","Bucknell","2022-05-03T20:35:00.000Z","","","Immediate"
"2022","Patrick","Maddox","S","Utah State","","2022-02-22T17:11:00.000Z","","","Immediate"
"2022","James","Ziglor III","RB","Vanderbilt","Buffalo","2022-07-07T20:47:00.000Z","","3","Immediate"
"2022","Kyle","Mann","DL","Alabama","Alabama A&M","2022-07-06T19:26:00.000Z","","3","Immediate"
"2022","Elisha","Guidry","S","UCLA","San José State","2022-04-22T05:00:00.000Z","","3","Immediate"
"2022","Malik","Williams","OT","Wyoming","San José State","2022-03-22T05:00:00.000Z","","3","Immediate"
"2022","Mordecai","McDaniel","S","Florida","","2022-07-02T15:01:00.000Z","0.87","3","Immediate"
"2022","Justin","Rogers","QB","UNLV","","2022-01-24T18:53:00.000Z","0.84","3","Immediate"
"2022","John","Brunner","IOL","North Texas","","2022-01-19T22:30:00.000Z","","3","Immediate"
"2022","Ridge","Jacobs","QB","South Florida","","2022-06-16T14:39:00.000Z","","","Immediate"
"2022","William","Rogers","DL","South Carolina","McNeese","2022-04-19T13:11:00.000Z","","3","Immediate"
"2022","Darrell","Jackson","DL","Maryland","Miami","2022-04-07T20:20:00.000Z","0.88","3","Immediate"
"2022","Garrett","Williams","CB","Temple","Fordham","2022-04-22T22:01:00.000Z","","3","Immediate"
"2022","Tyler","Brown","IOL","Louisiana","","2022-03-25T12:15:00.000Z","","2","Immediate"
"2022","Darius","Edmonds","WR","Houston","","2022-04-18T21:18:00.000Z","","3","Immediate"
"2022","Jack","Buford","OT","Arizona","Lindenwood University","2022-07-16T18:50:00.000Z","","4","Immediate"
"2022","Carson","Lee","IOL","Colorado","","2022-04-08T22:18:00.000Z","","3","Immediate"
"2022","Marcus","Washington","WR","Texas","Nebraska","2022-05-03T14:11:00.000Z","0.87","3","Immediate"
"2022","Kamo'i","Latu","S","Utah","Wisconsin","2022-04-28T20:13:00.000Z","0.88","3","Immediate"
"2022","Steven","Krajewski","QB","Connecticut","Georgia State","2022-04-26T15:51:00.000Z","","3","Immediate"
"2022","JT","Daniels","QB","Georgia","West Virginia","2022-01-19T20:37:00.000Z","0.89","3","Immediate"
"2022","Jordan","Yates","QB","Georgia Tech","Sam Houston State","2021-11-30T16:29:00.000Z","0.81","3","Immediate"
"2022","Jakelyn","Morgan","CB","Arizona","Louisiana Tech","2022-03-28T17:49:00.000Z","","3","Immediate"
"2022","Quinton","Cage","S","LSU","UT San Antonio","2022-03-30T13:43:00.000Z","","3","Immediate"
"2022","Antonio","Montero","LB","Rice","Villanova","2021-11-29T00:37:00.000Z","0.82","3","Immediate"
"2022","Jakai","Torres","RB","San José State","College of the Canyons","2022-06-20T05:00:00.000Z","","","Immediate"
"2022","Cameron","Cooper","OT","UTEP","","2022-04-26T15:42:00.000Z","","2","Immediate"
"2022","David","Afari","RB","Miami (OH)","","2022-04-28T17:48:00.000Z","","3","Immediate"
"2022","Caleb","Fox","DT","Stephen F. Austin","TCU","2022-04-28T18:02:00.000Z","0.87","3","Immediate"
"2022","Evan","Davis","K","Toledo","","2022-01-19T15:23:00.000Z","","2","Immediate"
"2022","Cody","Goatley","LB","Kentucky","Murray State","2022-04-21T17:26:00.000Z","","2","Immediate"
"2022","Tyler","Williams","LS","Washington State","","2022-02-03T16:16:00.000Z","","","Immediate"
"2022","Odua","Isibor","EDGE","UCLA","California","2022-04-21T18:23:00.000Z","0.85","3","Immediate"
"2022","Malik","Welch","S","San José State","McNeese","2022-03-08T06:00:00.000Z","","3","Immediate"
"2022","Damir","Collins","RB","Oregon State","Idaho State","2022-04-29T21:17:00.000Z","","3","Immediate"
"2022","Upton","Stout","S","North Texas","Western Kentucky","2021-11-08T15:53:00.000Z","","3","Immediate"
"2022","Tyler","Baron","EDGE","Tennessee","","2022-01-06T14:05:00.000Z","","4","Immediate"
"2022","Amarius","Mims","OT","Georgia","","2022-04-10T20:22:00.000Z","0.94","4","Immediate"
"2022","Alex","Stadthaus","K","USC","","2021-12-06T12:03:00.000Z","","2","Immediate"
"2022","Matt","Robinson","QB","Illinois","Fresno State","2022-03-22T18:09:00.000Z","","3","Immediate"
"2022","Dominick","Puni","IOL","Central Missouri State","Kansas","2022-03-01T20:26:00.000Z","","","Immediate"
"2022","Cameron","Kinnie","IOL","Georgia","UCF","2022-04-29T17:47:00.000Z","","3","Immediate"
"2022","Damian","Jackson","EDGE","Nebraska","Buffalo","2022-06-13T19:24:00.000Z","","","Immediate"
"2022","Logan","Sagapolu","IOL","Oregon","Miami","2022-01-18T06:00:00.000Z","0.85","3","Immediate"
"2022","Josh","Landry","DL","Baylor","Missouri","2022-04-29T16:16:00.000Z","","3","Immediate"
"2022","Willie","Tyler","OT","Louisiana Monroe","Rutgers","2021-11-30T16:06:00.000Z","0.87","3","Immediate"
"2022","Spencer","Curtis","WR","Oregon","Nevada","2022-01-11T15:09:00.000Z","","2","Immediate"
"2022","Jed","Castles","TE","Texas Tech","Abilene Christian","2022-04-10T17:31:00.000Z","","3","Immediate"
"2022","Emery","Simmons","WR","North Carolina","Indiana","2021-11-02T20:14:00.000Z","0.82","3","Immediate"
"2022","Iesa","Jarmon","CB","Cincinnati","Buffalo","2022-04-30T14:45:00.000Z","","3","Immediate"
"2022","Bobby","Holmes","CB","Louisiana","","2021-11-19T20:14:00.000Z","0.79","2","Immediate"
"2022","Troy","dela Vega","TE","Utah State","","2022-05-01T02:49:00.000Z","","2","Immediate"
"2022","Sam","Pinckney","WR","Georgia State","Coastal Carolina","2021-12-27T09:27:00.000Z","","3","Immediate"
"2022","Wesley","Walker","S","Georgia Tech","Tennessee","2022-02-21T17:56:00.000Z","0.87","3","Immediate"
"2022","Jarek","Broussard","RB","Colorado","Michigan State","2022-01-13T20:23:00.000Z","0.89","3","Immediate"
"2022","Thomas","Shelmire","IOL","SMU","","2022-05-20T19:46:00.000Z","","3","Immediate"
"2022","DJ","Johnson","OLB","Illinois","Louisiana Tech","2022-06-02T22:16:00.000Z","","3","Immediate"
"2022","Tyler","Harrell","WR","Louisville","Alabama","2022-04-12T19:16:00.000Z","0.91","4","Immediate"
"2022","Ryan","Wills","OT","Penn State","","2022-03-25T12:14:00.000Z","","2","Immediate"
"2022","Liridon","Mujezinovic","OT","Maryland","","2022-05-01T14:07:00.000Z","","3","Immediate"
"2022","Vidal","Scott","DL","Arkansas State","","2022-04-01T19:25:00.000Z","","3","Immediate"
"2022","Cole","Spencer","OT","Western Kentucky","Texas Tech","2022-02-14T21:58:00.000Z","0.91","4","Immediate"
"2022","Eric","Gentry","LB","Arizona State","USC","2022-04-21T15:27:00.000Z","0.93","4","Immediate"
"2022","TQ","Jackson","CB","SMU","","2022-04-21T17:25:00.000Z","0.86","3","Immediate"
"2022","Clay","Millen","QB","Nevada","Colorado State","2021-12-10T17:06:00.000Z","0.85","3","Immediate"
"2022","Jordan","Young","WR","Florida State","Florida Atlantic","2022-04-15T02:05:00.000Z","","3","Immediate"
"2022","Cruz","Temple","LB","East Carolina","Arkansas State","2022-04-14T18:57:00.000Z","","3","Immediate"
"2022","Shemar","Thornton","ATH","Florida International","Northern Illinois","2021-12-15T06:10:00.000Z","","2","Immediate"
"2022","Dylan","Davis","OT","Furman","Illinois","2022-04-30T19:23:00.000Z","","","Immediate"
"2022","Kevin","Schaeffer","TE","Rutgers","","2022-04-21T17:25:00.000Z","","","Immediate"
"2022","Joseph","Evans","DL","LSU","UT San Antonio","2022-04-26T17:59:00.000Z","","3","Immediate"
"2022","Tyrone","Hopper","LB","North Carolina","Missouri","2021-12-22T18:15:00.000Z","0.87","3","Immediate"
"2022","Jordan","Brown","ATH","Kansas","Texas Tech","2021-11-08T22:50:00.000Z","0.84","3","Immediate"
"2022","Chase","Monroe","LB","Wake Forest","Charlotte","2022-04-05T16:32:00.000Z","","3","Immediate"
"2022","Devan","Barrett","CB","Troy","","2022-02-09T15:44:00.000Z","0.84","3","Immediate"
"2022","AJ","Watts","CB","Akron","","2022-01-19T16:57:00.000Z","","2","Immediate"
"2022","Tyler","Page","WR","SMU","Appalachian State","2022-05-02T19:30:00.000Z","","3","Immediate"
"2022","Micah","Mariteragi","OT","Virginia","","2021-12-27T14:43:00.000Z","","3","Immediate"
"2022","Corey","Rucker","WR","Arkansas State","South Carolina","2022-03-07T22:51:00.000Z","0.88","3","Immediate"
"2022","Darrius","Smith","RB","Arizona","","2021-12-07T20:54:00.000Z","","3","Immediate"
"2022","Ke'Andre","Street","WR","Houston","","2022-04-04T13:24:00.000Z","","3","Immediate"
"2022","Billy","Pospisil III","WR","Washington State","Colorado Mines","2022-01-10T18:02:00.000Z","","3","Immediate"
"2022","Javin","Burke","S","Virginia","","2022-06-10T18:24:00.000Z","","3","Immediate"
"2022","Daryl","Porter","CB","West Virginia","Miami","2022-02-17T02:40:00.000Z","0.89","3","Immediate"
"2022","Jaylen","Moody","LB","Alabama","","2022-01-13T10:44:00.000Z","0.82","3","Immediate"
"2022","Stone","Eby","SDE","SMU","","2022-01-06T15:51:00.000Z","0.83","3","Immediate"
"2022","Edward","Haralson","DL","Louisiana Monroe","","2021-10-28T18:36:00.000Z","0.75","2","Immediate"
"2022","Leon","Williams","LB","Kent State","","2022-05-02T16:55:00.000Z","","3","Immediate"
"2022","Tyson","Thompson","WR","Houston Christian","Rice","2022-04-30T00:23:00.000Z","","","Immediate"
"2022","Peter","Costelli","QB","Utah","Troy","2021-11-23T21:04:00.000Z","","4","Immediate"
"2022","Kylan","Watkins","WR","Memphis","","2022-01-14T20:12:00.000Z","","2","Immediate"
"2022","Dar'jarri","Coleman","EDGE","Jacksonville State","","2022-03-09T15:01:00.000Z","","","Immediate"
"2022","Enoch","Nawahine","RB","Utah State","","2022-03-08T16:32:00.000Z","","2","Immediate"
"2022","Christian","Curatolo","OT","Lehigh","Boston College","2022-03-01T06:00:00.000Z","","","Immediate"
"2022","Tiaoalii","Savea","DL","UCLA","Arizona","2022-01-07T14:47:00.000Z","0.88","3","Immediate"
"2022","Jalik","Yancey","CB","Eastern Michigan","","2022-04-22T14:53:00.000Z","","","Immediate"
"2022","Tony","Wallace","CB","TCU","UT San Antonio","2021-11-16T06:00:00.000Z","","3","TBD"
"2022","Meki","Pei","S","Washington","","2022-04-25T19:13:00.000Z","","3","Immediate"
"2022","Kelsen","Hennessy","DL","Oregon State","","2021-11-09T22:42:00.000Z","0.79","2","Immediate"
"2022","Ryan","Keeler","DL","Rutgers","","2022-04-30T19:45:00.000Z","","3","Immediate"
"2022","Fred","Martin","CB","Oregon State","","2022-06-30T16:20:00.000Z","","","Immediate"
"2022","Josh","Brown","CB","Troy","","2022-06-20T14:36:00.000Z","","3","Immediate"
"2022","Jordan","Hornbeak","RB","Fresno State","Northern Colorado","2022-04-29T22:18:00.000Z","","3","Immediate"
"2022","Aaron","McLaughlin","QB","NC State","Jacksonville State","2022-02-18T16:55:00.000Z","0.85","3","Immediate"
"2022","Ryan","Peppins","WR","Utah","","2022-04-15T18:38:00.000Z","","3","Immediate"
"2022","Kolby","White","WR","Baylor","","2021-12-16T20:23:00.000Z","","","Immediate"
"2022","Frederik","Antoine","WR","Old Dominion","","2022-02-03T16:13:00.000Z","","2","Immediate"
"2022","Kajuan","Robinson","DL","Memphis","","2022-01-18T15:50:00.000Z","0.83","3","Immediate"
"2022","Jessie","Parson III","WR","Rutgers","","2021-11-01T20:19:00.000Z","","3","Immediate"
"2022","Eldrick","Robinson II","LB","Georgia Southern","Wake Forest","2022-02-25T17:18:00.000Z","","2","Immediate"
"2022","Ezra","Dotson-Oyetade","IOL","Arizona State","TCU","2022-04-29T17:19:00.000Z","0.88","3","Immediate"
"2022","Braedon","Wissler","RB","Utah","","2022-04-28T14:22:00.000Z","","2","Immediate"
"2022","Cameron","Williams","EDGE","Miami","","2022-04-29T14:17:00.000Z","","3","Immediate"
"2022","Pedro","Timoteo","OT","Fresno State","Portland State","2022-05-04T15:39:00.000Z","","","Immediate"
"2022","Parker","Rickert","WR","Iowa State","","2022-04-26T20:30:00.000Z","","2","Immediate"
"2022","Ray","Embry","TE","East Central","Buffalo","2022-04-06T19:17:00.000Z","","","Immediate"
"2022","Ricky","Pearsall","WR","Arizona State","Florida","2022-04-21T17:27:00.000Z","0.89","3","Immediate"
"2022","Isaiah","Land","EDGE","Florida A&M","Florida A&M","2022-05-01T15:46:00.000Z","","","Immediate"
"2022","Kenny","Bennett","CB","Maryland","Georgia Tech","2022-04-30T19:07:00.000Z","","3","Immediate"
"2022","Camden","Price","K","Miami","Temple","2022-01-06T23:57:00.000Z","","","Immediate"
"2022","Marcus","Hooker","S","Ohio State","Youngstown State","2022-04-26T18:39:00.000Z","","3","Immediate"
"2022","Eric","Reed","CB","Auburn","Georgia Tech","2022-03-28T18:52:00.000Z","0.86","3","Immediate"
"2022","Alex","Zayed","LB","Louisiana Tech","","2021-08-26T20:55:00.000Z","","2","Immediate"
"2022","Raiqwon","O'Neal","OT","Rutgers","UCLA","2022-01-20T19:37:00.000Z","0.89","3","Immediate"
"2022","Chris","Akporoghene","IOL","Tennessee","Tulsa","2022-01-24T16:27:00.000Z","0.87","3","Immediate"
"2022","Donavann","Collins","CB","TCU","","2021-12-14T20:29:00.000Z","0.85","3","Immediate"
"2022","Eric","Randall","S","Memphis","","2022-03-24T16:33:00.000Z","","3","Immediate"
"2022","Kyle","Helbig","TE","Colorado State","","2021-09-08T17:04:00.000Z","0.8","3","Immediate"
"2022","Caden","Clark","TE","Alabama","Akron","2022-04-07T19:35:00.000Z","","3","Immediate"
"2022","Jaylen","Rivers","ATH","Northwestern","","2021-11-29T18:32:00.000Z","0.8","3","Immediate"
"2022","Akheem","Mesidor","DL","West Virginia","Miami","2022-03-31T18:26:00.000Z","0.92","4","Immediate"
"2022","Matthew","Duncan","QB","Temple","Trinity Valley C.C.","2022-04-22T00:47:00.000Z","","3","Immediate"
"2022","Dylan","Walker","TE","Colorado State","","2021-12-21T20:54:00.000Z","","3","Immediate"
"2022","Jojuan","Claiborne","CB","Nevada","","2021-12-29T17:29:00.000Z","","2","Immediate"
"2022","Jamel","Thomas","WR","South Alabama","","2021-10-27T18:19:00.000Z","0.79","2","Immediate"
"2022","Avarius","Sparrow","RB","West Virginia","Middle Tennessee","2021-10-30T03:48:00.000Z","0.8","3","Immediate"
"2022","Gaberiel","Fuster","LB","Liberty","","2021-10-14T19:04:00.000Z","","3","Immediate"
"2022","Patrick","Jolly","CB","UCLA","Abilene Christian","2022-03-21T18:00:00.000Z","","3","Immediate"
"2022","Maurice","Freeman","S","Indiana","Liberty","2022-04-21T20:01:00.000Z","","3","Immediate"
"2022","Cooper","Darling","IOL","Oregon State","","2022-03-30T14:55:00.000Z","","3","Immediate"
"2022","Gabriel","Murphy","EDGE","North Texas","UCLA","2022-01-27T20:53:00.000Z","0.89","3","Immediate"
"2022","Mari","Wingard","CB","Elon","Georgia Southern","2021-11-26T12:22:00.000Z","","","Immediate"
"2022","Matt","Landers","WR","Toledo","Arkansas","2022-05-03T13:53:00.000Z","0.88","3","Immediate"
"2022","Rico","Powers","WR","South Carolina","Jackson State","2022-04-20T19:13:00.000Z","","4","Immediate"
"2022","Marshall","Gill","IOL","VMI","New Mexico","2021-11-22T20:53:00.000Z","","","Immediate"
"2022","Dmitri","Emmanuel","IOL","Charlotte","Florida State","2022-05-02T21:00:00.000Z","0.86","3","Immediate"
"2022","Alex","Bales","K","Cincinnati","","2022-03-09T16:23:00.000Z","","","Immediate"
"2022","Joey","Yellen","QB","Pittsburgh","Hawai'i","2022-04-29T20:28:00.000Z","","4","Immediate"
"2022","Myron","Warren","DL","Texas","Texas State","2022-04-26T05:00:00.000Z","","4","Immediate"
"2022","Corey","Robinson II","OT","Kansas","Georgia Tech","2022-04-15T16:56:00.000Z","","3","Immediate"
"2022","AJ","Davis","WR","UAB","","2022-05-20T16:05:00.000Z","","3","Immediate"
"2022","Sione","Veikoso","IOL","Arizona State","","2022-05-03T18:41:00.000Z","","2","Immediate"
"2022","Stacy","Brown","S","Missouri","","2022-04-30T19:43:00.000Z","","3","Immediate"
"2022","Isaiah","Wright","IOL","Rutgers","Buffalo","2022-05-02T18:54:00.000Z","","3","Immediate"
"2022","Andre","Turrentine","CB","Ohio State","Tennessee","2022-04-25T15:48:00.000Z","0.87","3","Immediate"
"2022","Izaiah","Kelley","OLB","SMU","Abilene Christian","2022-06-16T03:16:00.000Z","","3","Immediate"
"2022","Robert","Ferrel","WR","Incarnate Word","Washington State","2022-03-18T05:00:00.000Z","","","Immediate"
"2022","Bucky","Williams","IOL","Appalachian State","Appalachian State","2022-03-28T15:27:00.000Z","","","Immediate"
"2022","Sean","Ryan","WR","West Virginia","Rutgers","2022-01-07T16:47:00.000Z","0.85","3","Immediate"
"2022","Javian","Hester","WR","Missouri","Oklahoma","2022-04-28T16:45:00.000Z","0.88","3","Immediate"
"2022","Caden","McNeese","P","North Texas","","2022-04-14T17:34:00.000Z","","","Immediate"
"2022","Trent","Davis","RB","Duke","Jacksonville State","2022-04-27T19:58:00.000Z","","3","Immediate"
"2022","La'Dareyen","Craig","CB","South Carolina","","2022-06-23T19:58:00.000Z","0.88","3","Immediate"
"2022","Jahmin","Muse","S","Boston College","Buffalo","2021-11-30T16:54:00.000Z","0.84","3","Immediate"
"2022","Austin","Weiner","OT","Kansas State","Louisiana Monroe","2022-04-01T14:38:00.000Z","","3","Immediate"
"2022","Ryan","Bujcevski","P","Texas","SMU","2022-02-21T17:57:00.000Z","","3","Immediate"
"2022","Jazston","Turnetine","OT","South Carolina","Florida State","2022-04-29T20:20:00.000Z","0.86","3","Immediate"
"2022","Parker","Navarro","QB","UCF","Ohio","2022-04-18T18:54:00.000Z","","3","Immediate"
"2022","Darin","Turner","WR","Arkansas","Alabama A&M","2021-12-16T15:24:00.000Z","","4","Immediate"
"2022","Zeriah","Beason","WR","Oregon State","Washington State","2022-04-20T21:06:00.000Z","","3","Immediate"
"2022","Nate","Adkins","TE","East Tennessee State","South Carolina","2022-04-22T20:18:00.000Z","0.87","3","Immediate"
"2022","Junior","Walling","LB","Oregon State","","2022-04-27T13:47:00.000Z","","3","Immediate"
"2022","Kayode","Oladele","DL","Memphis","","2022-06-13T14:40:00.000Z","","4","Immediate"
"2022","Zack","Merrill","QB","Indiana","","2022-01-11T18:55:00.000Z","","","Immediate"
"2022","RJ","Sneed","WR","Baylor","Colorado","2022-01-04T16:49:00.000Z","0.87","3","Immediate"
"2022","Sean","Berry","S","UT San Antonio","","2021-12-16T20:20:00.000Z","","3","Immediate"
"2022","Audley","Isaacs","LB","Temple","Tarleton State","2022-04-22T20:13:00.000Z","","3","Immediate"
"2022","Chris","Childers","RB","Indiana","San Diego","2021-12-10T18:45:00.000Z","","","Immediate"
"2022","Andrew","Parker","LB","Arkansas","Appalachian State","2022-01-20T20:44:00.000Z","","3","Immediate"
"2022","Lonyatta","Alexander","WR","Arizona State","Washington","2022-01-15T18:04:00.000Z","0.88","3","Immediate"
"2022","Parker","Hughes","ATH","Middle Tennessee","","2022-04-28T19:36:00.000Z","","","Immediate"
"2022","Nicholas","Edwards","OT","Tennessee","UT Martin","2022-05-02T13:15:00.000Z","","","Immediate"
"2022","Reid","Pulliam","LB","Virginia Tech","Holmes C.C.","2022-06-07T18:10:00.000Z","","3","Immediate"
"2022","Eli'jah","Winston","LB","USC","Nevada","2022-05-03T23:58:00.000Z","","4","Immediate"
"2022","Mazin","Richards","DL","Eastern New Mexico","North Texas","2022-04-16T20:03:00.000Z","","","Immediate"
"2022","Daemon","Hill","CB","Central Michigan","Florida Atlantic","2022-05-02T16:23:00.000Z","","3","Immediate"
"2022","Ethan","Bullock","QB","Oklahoma State","","2022-04-06T13:38:00.000Z","","3","Immediate"
"2022","Daran","Branch","S","Georgia","","2022-04-02T13:18:00.000Z","","3","Immediate"
"2022","Jaylon","Robinson","WR","UCF","Ole Miss","2022-04-21T17:28:00.000Z","0.9","4","Immediate"
"2022","Ja'Varrius","Johnson","WR","Auburn","Auburn","2022-02-02T20:53:00.000Z","0.87","3","Immediate"
"2022","DeAmonte","King","ATH","Toledo","","2021-12-21T20:23:00.000Z","","3","Immediate"
"2022","Kendall","Smith","S","Illinois","","2021-11-29T10:28:00.000Z","","3","Immediate"
"2022","Viliami","Tausinga","LB","BYU","","2022-03-28T20:37:00.000Z","","3","Immediate"
"2022","Jordan","Addison","WR","Pittsburgh","USC","2022-05-03T19:11:00.000Z","0.98","5","Immediate"
"2022","Drake","Cheatum","CB","Prairie View","Kansas State","2022-05-08T20:18:00.000Z","","","Immediate"
"2022","Demond","Demas","WR","Texas A&M","","2022-03-29T15:29:00.000Z","","5","Immediate"
"2022","Reese","Poffenbarger","QB","Old Dominion","","2022-04-19T15:18:00.000Z","","3","Immediate"
"2022","Dayne","Shor","OT","Alabama","Connecticut","2022-05-05T17:49:00.000Z","","4","Immediate"
"2022","Kaymar","Mimes","TE","Pittsburgh","","2022-04-15T13:31:00.000Z","","3","Immediate"
"2022","Wistar","Allen","LB","East Carolina","","2022-02-01T21:35:00.000Z","","3","Immediate"
"2022","Malik","Matthew","LB","Syracuse","","2022-06-16T14:38:00.000Z","","3","Immediate"
"2022","Walter","Simmons III","QB","East Carolina","Bethune-Cookman","2022-04-19T14:14:00.000Z","","3","Immediate"
"2022","CJ","Rogers","QB","Baylor","Texas State","2022-06-10T21:14:00.000Z","","","Immediate"
"2022","Jordan","Rhodes","OT","Ole Miss","Arkansas State","2022-07-06T22:09:00.000Z","","3","Immediate"
"2022","Keitha","Jones","TE","Tulane","","2022-04-27T21:35:00.000Z","","3","Immediate"
"2022","Brandon","Campbell","RB","USC","Houston","2022-03-15T13:49:00.000Z","0.89","3","Immediate"
"2022","Jaren","Handy","EDGE","Indiana","","2022-03-25T12:14:00.000Z","","4","Immediate"
"2022","Isaiah","Winstead","WR","Toledo","East Carolina","2022-02-03T13:00:00.000Z","0.87","3","Immediate"
"2022","Danny","Corbett","IOL","Campbell","Georgia Southern","2021-11-29T21:08:00.000Z","","","Immediate"
"2022","Sione","Finau","RB","BYU","","2022-03-29T01:26:00.000Z","","3","Immediate"
"2022","Dajon","Harrison","WR","Texas","Connecticut","2022-04-29T17:22:00.000Z","","3","Immediate"
"2022","Marvin","Grant","S","Purdue","Kansas","2022-05-01T22:12:00.000Z","0.88","3","Immediate"
"2022","Brennan","Sweeney","LB","Iowa","","2022-05-04T17:14:00.000Z","","","Immediate"
"2022","Mackenzie","Morgan","P","Weber State","Temple","2021-12-13T03:04:00.000Z","","","Immediate"
"2022","Tylan","Morton","QB","South Alabama","Southwestern Oklahoma","2022-01-10T15:32:00.000Z","","3","Immediate"
"2022","Ethan","Long","QB","Arizona State","Abilene Christian","2022-01-19T20:24:00.000Z","","3","Immediate"
"2022","Jadarius","Thursby","S","SMU","Abilene Christian","2022-04-28T20:43:00.000Z","","3","Immediate"
"2022","Josh","White","LB","LSU","Baylor","2022-03-28T22:06:00.000Z","0.89","3","Immediate"
"2022","Jaelyn","Lay","TE","Clemson","Alabama State","2022-01-02T21:10:00.000Z","0.84","3","Immediate"
