Key,,,National Champion,Fired/Resigned,Hired Up,Retired,Interim,Deceased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBS Team,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987
Northern Illinois,Thomas Hammock,Thomas Hammock,Thomas Hammock,Thomas Hammock,Thomas Hammock,Thomas Hammock,Rod Carey,Rod Carey,Rod Carey,Rod Carey,Rod Carey,Rod Carey,Dave Doeren,Dave Doeren,Jerry Kill,Jerry Kill,Jerry Kill,Joe Novak,Joe Novak,Joe Novak,Joe Novak,Joe Novak,Joe Novak,Joe Novak,Joe Novak,Joe Novak,Joe Novak,Joe Novak,Joe Novak,Charlie Sadler,Charlie Sadler,Charlie Sadler,Charlie Sadler,Charlie Sadler,Jerry Pettibone,Jerry Pettibone,Jerry Pettibone,Jerry Pettibone
Northwestern,David Braun,David Braun,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Pat Fitzgerald,Randy Walker,Randy Walker,Randy Walker,Randy Walker,Randy Walker,Randy Walker,Randy Walker,Gary Barnett,Gary Barnett,Gary Barnett,Gary Barnett,Gary Barnett,Gary Barnett,Gary Barnett,Francis Peay,Francis Peay,Francis Peay,Francis Peay,Francis Peay
Notre Dame,Marcus Freeman,Marcus Freeman,Marcus Freeman,Brian Kelly,Brian Kelly,Brian Kelly,Brian Kelly,Brian Kelly,Brian Kelly,Brian Kelly,Brian Kelly,Brian Kelly,Brian Kelly,Brian Kelly,Brian Kelly,Charlie Weis,Charlie Weis,Charlie Weis,Charlie Weis,Charlie Weis,Tyrone Willingham,Tyrone Willingham,Tyrone Willingham,Bob Davie,Bob Davie,Bob Davie,Bob Davie,Bob Davie,Lou Holtz,Lou Holtz,Lou Holtz,Lou Holtz,Lou Holtz,Lou Holtz,Lou Holtz,Lou Holtz,Lou Holtz,Lou Holtz
Ohio,Tim Albin,Tim Albin,Tim Albin,Tim Albin,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Frank Solich,Brian Knorr,Brian Knorr,Brian Knorr,Brian Knorr,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Jim Grobe,Tom Lichtenberg,Tom Lichtenberg,Tom Lichtenberg,Tom Lichtenberg,Tom Lichtenberg,Cleve Bryant,Cleve Bryant,Cleve Bryant
Ohio State,Ryan Day,Ryan Day,Ryan Day,Ryan Day,Ryan Day,Ryan Day,Urban Meyer,Urban Meyer,Urban Meyer,Urban Meyer,Urban Meyer,Urban Meyer,Urban Meyer,Luke Fickell,Jim Tressel,Jim Tressel,Jim Tressel,Jim Tressel,Jim Tressel,Jim Tressel,Jim Tressel,Jim Tressel,Jim Tressel,Jim Tressel,John Cooper,John Cooper,John Cooper,John Cooper,John Cooper,John Cooper,John Cooper,John Cooper,John Cooper,John Cooper,John Cooper,John Cooper,John Cooper,Earle Bruce
Oklahoma,Brent Venables ,Brent Venables ,Brent Venables ,Lincoln Riley,Lincoln Riley,Lincoln Riley,Lincoln Riley,Lincoln Riley,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,Bob Stoops,John Blake,John Blake,John Blake,Howard Schnellenberger,Gary Gibbs,Gary Gibbs,Gary Gibbs,Gary Gibbs,Gary Gibbs,Gary Gibbs,Barry Switzer,Barry Switzer
Oklahoma State,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Mike Gundy,Les Miles,Les Miles,Les Miles,Les Miles,Bob Simmons,Bob Simmons,Bob Simmons,Bob Simmons,Bob Simmons,Bob Simmons,Pat Jones,Pat Jones,Pat Jones,Pat Jones,Pat Jones,Pat Jones,Pat Jones,Pat Jones
Old Dominion,Ricky Rahne,Ricky Rahne,Ricky Rahne,Ricky Rahne,Ricky Rahne,Bobby Wilder,Bobby Wilder,Bobby Wilder,Bobby Wilder,Bobby Wilder,Bobby Wilder,Bobby Wilder,Bobby Wilder,Bobby Wilder,Bobby Wilder,Bobby Wilder,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team
Ole Miss,Lane Kiffin,Lane Kiffin,Lane Kiffin,Lane Kiffin,Lane Kiffin,Matt Luke,Matt Luke,Matt Luke,Hugh Freeze,Hugh Freeze,Hugh Freeze,Hugh Freeze,Hugh Freeze,Houston Nutt,Houston Nutt,Houston Nutt,Houston Nutt,Ed Orgeron,Ed Orgeron,Ed Orgeron,David Cutcliffe,David Cutcliffe,David Cutcliffe,David Cutcliffe,David Cutcliffe,David Cutcliffe,Tommy Tuberville,Tommy Tuberville,Tommy Tuberville,Tommy Tuberville,Joe Lee Dunn,Billy Brewer,Billy Brewer,Billy Brewer,Billy Brewer,Billy Brewer,Billy Brewer,Billy Brewer
Oregon,Dan Lanning ,Dan Lanning ,Dan Lanning ,Mario Cristobal,Mario Cristobal,Mario Cristobal,Mario Cristobal,Willie Taggart,Mark Helfrich,Mark Helfrich,Mark Helfrich,Mark Helfrich,Chip Kelly,Chip Kelly,Chip Kelly,Chip Kelly,Mike Bellotti,Mike Bellotti,Mike Bellotti,Mike Bellotti,Mike Bellotti,Mike Bellotti,Mike Bellotti,Mike Bellotti,Mike Bellotti,Mike Bellotti,Mike Bellotti,Mike Bellotti,Mike Bellotti,Mike Bellotti,Rich Brooks,Rich Brooks,Rich Brooks,Rich Brooks,Rich Brooks,Rich Brooks,Rich Brooks,Rich Brooks
Oregon State,Trent Bray,Jonathan Smith,Jonathan Smith,Jonathan Smith,Jonathan Smith,Jonathan Smith,Jonathan Smith,Gary Andersen,Gary Andersen,Gary Andersen,Mike Riley,Mike Riley,Mike Riley,Mike Riley,Mike Riley,Mike Riley,Mike Riley,Mike Riley,Mike Riley,Mike Riley,Mike Riley,Mike Riley,Dennis Erickson,Dennis Erickson,Dennis Erickson,Dennis Erickson,Mike Riley,Mike Riley,Jerry Pettibone,Jerry Pettibone,Jerry Pettibone,Jerry Pettibone,Jerry Pettibone,Jerry Pettibone,Dave Kragthorpe,Dave Kragthorpe,Dave Kragthorpe,Dave Kragthorpe
Penn State,James Franklin,James Franklin,James Franklin,James Franklin,James Franklin,James Franklin,James Franklin,James Franklin,James Franklin,James Franklin,James Franklin,Bill O'Brien,Bill O'Brien,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno,Joe Paterno
Pittsburgh,Pat Narduzzi,Pat Narduzzi,Pat Narduzzi,Pat Narduzzi,Pat Narduzzi,Pat Narduzzi,Pat Narduzzi,Pat Narduzzi,Pat Narduzzi,Pat Narduzzi,Paul Chryst,Paul Chryst,Paul Chryst,Todd Graham,Dave Wannstedt,Dave Wannstedt,Dave Wannstedt,Dave Wannstedt,Dave Wannstedt,Dave Wannstedt,Walt Harris,Walt Harris,Walt Harris,Walt Harris,Walt Harris,Walt Harris,Walt Harris,Walt Harris,Johnny Majors,Johnny Majors,Johnny Majors,Johnny Majors,Paul Hackett,Paul Hackett,Paul Hackett,Mike Gottfried,Mike Gottfried,Mike Gottfried
Purdue,Ryan Walters,Ryan Walters,Jeff Brohm,Jeff Brohm,Jeff Brohm,Jeff Brohm,Jeff Brohm,Jeff Brohm,Darrell Hazell,Darrell Hazell,Darrell Hazell,Darrell Hazell,Danny Hope,Danny Hope,Danny Hope,Danny Hope,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Joe Tiller,Jim Colletto,Jim Colletto,Jim Colletto,Jim Colletto,Jim Colletto,Jim Colletto,Fred Akers,Fred Akers,Fred Akers,Fred Akers
Rice,Mike Bloomgren,Mike Bloomgren,Mike Bloomgren,Mike Bloomgren,Mike Bloomgren,Mike Bloomgren,Mike Bloomgren,David Bailiff,David Bailiff,David Bailiff,David Bailiff,David Bailiff,David Bailiff,David Bailiff,David Bailiff,David Bailiff,David Bailiff,David Bailiff,Todd Graham,Ken Hatfield,Ken Hatfield,Ken Hatfield,Ken Hatfield,Ken Hatfield,Ken Hatfield,Ken Hatfield,Ken Hatfield,Ken Hatfield,Ken Hatfield,Ken Hatfield,Ken Hatfield,Fred Goldsmith,Fred Goldsmith,Fred Goldsmith,Fred Goldsmith,Fred Goldsmith,Jerry Berndt,Jerry Berndt
Rutgers,Greg Schiano,Greg Schiano,Greg Schiano,Greg Schiano,Greg Schiano,Chris Ash,Chris Ash,Chris Ash,Chris Ash,Kyle Flood,Kyle Flood,Kyle Flood,Kyle Flood,Greg Schiano,Greg Schiano,Greg Schiano,Greg Schiano,Greg Schiano,Greg Schiano,Greg Schiano,Greg Schiano,Greg Schiano,Greg Schiano,Greg Schiano,Terry Shea,Terry Shea,Terry Shea,Terry Shea,Terry Shea,Doug Graber,Doug Graber,Doug Graber,Doug Graber,Doug Graber,Doug Graber,Dick Anderson,Dick Anderson,Dick Anderson
Sam Houston State,K.C Keeler,K.C Keeler,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team
San Diego State,Sean Lewis,Brady Hoke,Brady Hoke,Brady Hoke,Brady Hoke,Rocky Long,Rocky Long,Rocky Long,Rocky Long,Rocky Long,Rocky Long,Rocky Long,Rocky Long,Rocky Long,Brady Hoke,Brady Hoke,Chuck Long,Chuck Long,Chuck Long,Tom Craft,Tom Craft,Tom Craft,Tom Craft,Ted Tollner,Ted Tollner,Ted Tollner,Ted Tollner,Ted Tollner,Ted Tollner,Ted Tollner,Ted Tollner,Al Luginbill,Al Luginbill,Al Luginbill,Al Luginbill,Al Luginbill,Denny Stolz,Denny Stolz
San Jose State,Ken Niumatalolo,Brent Brennan,Brent Brennan,Brent Brennan,Brent Brennan,Brent Brennan,Brent Brennan,Brent Brennan,Ron Caragher,Ron Caragher,Ron Caragher,Ron Caragher,Mike MacIntyre,Mike MacIntyre,Mike MacIntyre,Dick Tomey,Dick Tomey,Dick Tomey,Dick Tomey,Dick Tomey,Fitz Hill,Fitz Hill,Fitz Hill,Fitz Hill,Dave Baldwin,Dave Baldwin,Dave Baldwin,Dave Baldwin,John Ralston,John Ralston,John Ralston,John Ralston,Ron Turner,Terry Shea,Terry Shea,Claude Gilbert,Claude Gilbert,Claude Gilbert
SMU,Rhett Lashlee,Rhett Lashlee,Rhett Lashlee,Sonny Dykes,Sonny Dykes,Sonny Dykes,Sonny Dykes,Chad Morris,Chad Morris,Chad Morris,June Jones,June Jones,June Jones,June Jones,June Jones,June Jones,June Jones,Phil Bennett,Phil Bennett,Phil Bennett,Phil Bennett,Phil Bennett,Phil Bennett,Mike Cavan,Mike Cavan,Mike Cavan,Mike Cavan,Mike Cavan,Tom Rossley,Tom Rossley,Tom Rossley,Tom Rossley,Tom Rossley,Tom Rossley,Forrest Gregg,Forrest Gregg,No FBS Team,No FBS Team
South Alabama,Major Applewhite,Kane Wommack,Kane Wommack,Kane Wommack,Steve Campbell,Steve Campbell,Steve Campbell,Joey Jones,Joey Jones,Joey Jones,Joey Jones,Joey Jones,Joey Jones,Joey Jones,Joey Jones,Joey Jones,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team
South Carolina,Shane Beamer,Shane Beamer,Shane Beamer,Shane Beamer,Will Muschamp,Will Muschamp,Will Muschamp,Will Muschamp,Will Muschamp,Steve Spurrier,Steve Spurrier,Steve Spurrier,Steve Spurrier,Steve Spurrier,Steve Spurrier,Steve Spurrier,Steve Spurrier,Steve Spurrier,Steve Spurrier,Steve Spurrier,Lou Holtz,Lou Holtz,Lou Holtz,Lou Holtz,Lou Holtz,Lou Holtz,Brad Scott,Brad Scott,Brad Scott,Brad Scott,Brad Scott,Sparky Woods,Sparky Woods,Sparky Woods,Sparky Woods,Sparky Woods,Joe Morrison,Joe Morrison
South Florida,Alex Golesh,Alex Golesh,Jeff Scott,Jeff Scott,Jeff Scott,Charlie Strong,Charlie Strong,Charlie Strong,Willie Taggart,Willie Taggart,Willie Taggart,Willie Taggart,Skip Holtz,Skip Holtz,Skip Holtz,Jim Leavitt,Jim Leavitt,Jim Leavitt,Jim Leavitt,Jim Leavitt,Jim Leavitt,Jim Leavitt,Jim Leavitt,Jim Leavitt,Jim Leavitt,Jim Leavitt,Jim Leavitt,Jim Leavitt,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team,No FBS Team
Southern Miss,Will Hall,Will Hall,Will Hall,Will Hall,Jay Hopson,Jay Hopson,Jay Hopson,Jay Hopson,Jay Hopson,Todd Monken,Todd Monken,Todd Monken,Ellis Johnson,Larry Fedora,Larry Fedora,Larry Fedora,Larry Fedora,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Jeff Bower,Curley Hallman,Curley Hallman,Curley Hallman,Jim Carmody
Stanford,Troy Taylor,Troy Taylor,David Shaw,David Shaw,David Shaw,David Shaw,David Shaw,David Shaw,David Shaw,David Shaw,David Shaw,David Shaw,David Shaw,David Shaw,Jim Harbaugh,Jim Harbaugh,Jim Harbaugh,Jim Harbaugh,Walt Harris,Walt Harris,Buddy Teevens,Buddy Teevens,Buddy Teevens,Tyrone Willingham,Tyrone Willingham,Tyrone Willingham,Tyrone Willingham,Tyrone Willingham,Tyrone Willingham,Tyrone Willingham,Bill Walsh,Bill Walsh,Bill Walsh,Dennis Green,Dennis Green,Dennis Green,Jack Elway,Jack Elway
Syracuse,Fran Brown,Dino Babers,Dino Babers,Dino Babers,Dino Babers,Dino Babers,Dino Babers,Dino Babers,Dino Babers,Scott Shafer,Scott Shafer,Scott Shafer,Doug Marrone,Doug Marrone,Doug Marrone,Doug Marrone,Greg Robinson,Greg Robinson,Greg Robinson,Greg Robinson,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Paul Pasqualoni,Dick MacPherson,Dick MacPherson,Dick MacPherson,Dick MacPherson
TCU,Sonny Dykes,Sonny Dykes,Sonny Dykes,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Gary Patterson,Dennis Franchione,Dennis Franchione,Dennis Franchione,Pat Sullivan,Pat Sullivan,Pat Sullivan,Pat Sullivan,Pat Sullivan,Pat Sullivan,Jim Wacker,Jim Wacker,Jim Wacker,Jim Wacker,Jim Wacker
Temple,Stan Drayton,Stan Drayton,Stan Drayton,Rod Carey,Rod Carey,Rod Carey,Geoff Collins,Geoff Collins,Matt Rhule,Matt Rhule,Matt Rhule,Matt Rhule,Steve Addazio,Steve Addazio,Al Golden,Al Golden,Al Golden,Al Golden,Al Golden,Bobby Wallace,Bobby Wallace,Bobby Wallace,Bobby Wallace,Bobby Wallace,Bobby Wallace,Bobby Wallace,Bobby Wallace,Ron Dickerson,Ron Dickerson,Ron Dickerson,Ron Dickerson,Ron Dickerson,Jerry Berndt,Jerry Berndt,Jerry Berndt,Jerry Berndt,Bruce Arians,Bruce Arians
Tennessee,Josh Heupel,Josh Heupel,Josh Heupel,Josh Heupel,Jeremy Pruitt,Jeremy Pruitt,Jeremy Pruitt,Butch Jones,Butch Jones,Butch Jones,Butch Jones,Butch Jones,Derek Dooley,Derek Dooley,Derek Dooley,Lane Kiffin,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Phil Fulmer,Johnny Majors,Johnny Majors,Johnny Majors,Johnny Majors,Johnny Majors,Johnny Majors
Texas,Steve Sarkisian,Steve Sarkisian,Steve Sarkisian,Steve Sarkisian,Tom Herman,Tom Herman,Tom Herman,Tom Herman,Charlie Strong,Charlie Strong,Charlie Strong,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,Mack Brown,John Mackovic,John Mackovic,John Mackovic,John Mackovic,John Mackovic,John Mackovic,David McWilliams,David McWilliams,David McWilliams,David McWilliams,David McWilliams
Texas A&M,Mike Elko,Jimbo Fisher,Jimbo Fisher,Jimbo Fisher,Jimbo Fisher,Jimbo Fisher,Jimbo Fisher,Kevin Sumlin,Kevin Sumlin,Kevin Sumlin,Kevin Sumlin,Kevin Sumlin,Kevin Sumlin,Mike Sherman,Mike Sherman,Mike Sherman,Mike Sherman,Dennis Franchione,Dennis Franchione,Dennis Franchione,Dennis Franchione,Dennis Franchione,RC Slocum,RC Slocum,RC Slocum,RC Slocum,RC Slocum,RC Slocum,RC Slocum,RC Slocum,RC Slocum,RC Slocum,RC Slocum,RC Slocum,RC Slocum,RC Slocum,Jackie Sherrill,Jackie Sherrill
Texas State,GJ Kinne,GJ Kinne,Jake Spavital,Jake Spavital,Jake Spavital,Jake Spavital,Everett Withers,Everett Withers,Everett Withers,Dennis Franchione,Dennis Franchione,Dennis Franchione,Dennis Franchione,Dennis Franchione,Brad Wright,Brad Wright,Brad Wright,Brad Wright,David Bailiff,David Bailiff,David Bailiff,Manny Matsakis,Bob DeBesse,Bob DeBesse,Bob DeBesse,Bob DeBesse,Bob DeBesse,Bob DeBesse,Jim Bob Helduser,Jim Bob Helduser,Jim Bob Helduser,Jim Bob Helduser,Jim Bob Helduser,Dennis Franchione,Dennis Franchione,John O'Hara,John O'Hara,John O'Hara
Texas Tech,Joey McGuire,Joey McGuire,Joey McGuire,Matt Wells,Matt Wells,Matt Wells,Kliff Kingsbury,Kliff Kingsbury,Kliff Kingsbury,Kliff Kingsbury,Kliff Kingsbury,Kliff Kingsbury,Tommy Tuberville,Tommy Tuberville,Tommy Tuberville,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Mike Leach,Spike Dykes,Spike Dykes,Spike Dykes,Spike Dykes,Spike Dykes,Spike Dykes,Spike Dykes,Spike Dykes,Spike Dykes,Spike Dykes,Spike Dykes,Spike Dykes,Spike Dykes
Toledo,Jason Candle,Jason Candle,Jason Candle,Jason Candle,Jason Candle,Jason Candle,Jason Candle,Jason Candle,Jason Candle,Matt Campbell,Matt Campbell,Matt Campbell,Matt Campbell,Tim Beckman,Tim Beckman,Tim Beckman,Tom Amstutz,Tom Amstutz,Tom Amstutz,Tom Amstutz,Tom Amstutz,Tom Amstutz,Tom Amstutz,Tom Amstutz,Gary Pinkel,Gary Pinkel,Gary Pinkel,Gary Pinkel,Gary Pinkel,Gary Pinkel,Gary Pinkel,Gary Pinkel,Gary Pinkel,Gary Pinkel,Nick Saban,Dan Simrell,Dan Simrell,Dan Simrell
Troy,Gerad Parker,Jon Sumrall,Jon Sumrall,Chip Lindsey,Chip Lindsey,Chip Lindsey,Neal Brown,Neal Brown,Neal Brown,Neal Brown,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Larry Blakeney,Robert Maddox,Robert Maddox,Robert Maddox,Rick Rhoades
Tulane,Jon Sumrall,Willie Fritz,Willie Fritz,Willie Fritz,Willie Fritz,Willie Fritz,Willie Fritz,Willie Fritz,Willie Fritz,Curtis Johnson,Curtis Johnson,Curtis Johnson,Curtis Johnson,Bob Toledo,Bob Toledo,Bob Toledo,Bob Toledo,Bob Toledo,Chris Scelfo,Chris Scelfo,Chris Scelfo,Chris Scelfo,Chris Scelfo,Chris Scelfo,Chris Scelfo,Chris Scelfo,Tommy Bowden,Tommy Bowden,Buddy Teevens,Buddy Teevens,Buddy Teevens,Buddy Teevens,Buddy Teevens,Greg Davis,Greg Davis,Greg Davis,Greg Davis,Mack Brown
Tulsa,Kevin Wilson,Kevin Wilson,Philip Montgomery,Philip Montgomery,Philip Montgomery,Philip Montgomery,Philip Montgomery,Philip Montgomery,Philip Montgomery,Philip Montgomery,Bill Blankenship,Bill Blankenship,Bill Blankenship,Bill Blankenship,Todd Graham,Todd Graham,Todd Graham,Todd Graham,Steve Kragthorpe,Steve Kragthorpe,Steve Kragthorpe,Steve Kragthorpe,Keith Burns,Keith Burns,Keith Burns,Dave Rader,Dave Rader,Dave Rader,Dave Rader,Dave Rader,Dave Rader,Dave Rader,Dave Rader,Dave Rader,Dave Rader,Dave Rader,Dave Rader,George Henshaw
UAB,Trent Dilfer,Trent Dilfer,Bryant Vincent,Bill Clark,Bill Clark,Bill Clark,Bill Clark,Bill Clark,No FBS Team,No FBS Team,Bill Clark,Garrick McGee,Garrick McGee,Neil Callaway,Neil Callaway,Neil Callaway,Neil Callaway,Neil Callaway,Watson Brown,Watson Brown,Watson Brown,Watson Brown,Watson Brown,Watson Brown,Watson Brown,Watson Brown,Watson Brown,Watson Brown,Watson Brown,Watson Brown,Jim Hilyer,Jim Hilyer,Jim Hilyer,Jim Hilyer,No FBS Team,No FBS Team,No FBS Team,No FBS Team
UCLA,DeShaun Foster,Chip Kelly,Chip Kelly,Chip Kelly,Chip Kelly,Chip Kelly,Chip Kelly,Jim L. Mora,Jim L. Mora,Jim L. Mora,Jim L. Mora,Jim L. Mora,Jim L. Mora,Rick Neuheisel,Rick Neuheisel,Rick Neuheisel,Rick Neuheisel,Karl Dorrell,Karl Dorrell,Karl Dorrell,Karl Dorrell,Karl Dorrell,Bob Toledo,Bob Toledo,Bob Toledo,Bob Toledo,Bob Toledo,Bob Toledo,Bob Toledo,Terry Donahue,Terry Donahue,Terry Donahue,Terry Donahue,Terry Donahue,Terry Donahue,Terry Donahue,Terry Donahue,Terry Donahue
UNLV,Barry Odom,Barry Odom,Marcus Arroyo,Marcus Arroyo,Marcus Arroyo,Tony Sanchez,Tony Sanchez,Tony Sanchez,Tony Sanchez,Tony Sanchez,Bobby Hauck,Bobby Hauck,Bobby Hauck,Bobby Hauck,Bobby Hauck,Mike Sanford,Mike Sanford,Mike Sanford,Mike Sanford,Mike Sanford,John Robinson,John Robinson,John Robinson,John Robinson,John Robinson,John Robinson,Jeff Horton,Jeff Horton,Jeff Horton,Jeff Horton,Jeff Horton,Jim Strong,Jim Strong,Jim Strong,Jim Strong,Wayne Nunnely,Wayne Nunnely,Wayne Nunnely
USC,Lincoln Riley,Lincoln Riley,Lincoln Riley,Clay Helton,Clay Helton,Clay Helton,Clay Helton,Clay Helton,Clay Helton,Steve Sarkisian,Steve Sarkisian,Ed Orgeron,Lane Kiffin,Lane Kiffin,Lane Kiffin,Pete Carroll,Pete Carroll,Pete Carroll,Pete Carroll,Pete Carroll,Pete Carroll,Pete Carroll,Pete Carroll,Pete Carroll,Paul Hackett,Paul Hackett,Paul Hackett,John Robinson,John Robinson,John Robinson,John Robinson,John Robinson,Larry Smith,Larry Smith,Larry Smith,Larry Smith,Larry Smith,Larry Smith
Utah,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Kyle Whittingham,Urban Meyer,Urban Meyer,Ron McBride,Ron McBride,Ron McBride,Ron McBride,Ron McBride,Ron McBride,Ron McBride,Ron McBride,Ron McBride,Ron McBride,Ron McBride,Ron McBride,Ron McBride,Jim Fassel,Jim Fassel,Jim Fassel
Utah State,Blake Anderson,Blake Anderson,Blake Anderson,Blake Anderson,Gary Andersen,Gary Andersen,Matt Wells,Matt Wells,Matt Wells,Matt Wells,Matt Wells,Matt Wells,Gary Andersen,Gary Andersen,Gary Andersen,Gary Andersen,Brent Guy,Brent Guy,Brent Guy,Brent Guy,Mick Dennehy,Mick Dennehy,Mick Dennehy,Mick Dennehy,Mick Dennehy,Dave Arslanian,Dave Arslanian,John L Smith,John L Smith,John L Smith,Charlie Weatherbie,Charlie Weatherbie,Charlie Weatherbie,Chuck Shelton,Chuck Shelton,Chuck Shelton,Chuck Shelton,Chuck Shelton
UTEP,Scotty Walden,Dana Dimel,Dana Dimel,Dana Dimel,Dana Dimel,Dana Dimel,Dana Dimel,Sean Kugler,Sean Kugler,Sean Kugler,Sean Kugler,Sean Kugler,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Mike Price,Gary Nord,Gary Nord,Gary Nord,Gary Nord,Charlie Bailey,Charlie Bailey,Charlie Bailey,Charlie Bailey,Charlie Bailey,Charlie Bailey,David Lee,David Lee,David Lee,David Lee,David Lee,Bob Stull,Bob Stull
